,route_id,trip_headsign,,14833,Green Line,,
3,14833,Green Line,,14809,Route 188 Oakley Industrial,,
126,14809,Route 188 Oakley Industrial,,14816,Route 196 Upper Riverdale/Southlake,,
129,14816,Route 196 Upper Riverdale/Southlake,,14847,Route 89 Old National Highway,,
130,14847,Route 89 Old National Highway,,14993,Route 81 Venetian Hills/Delowe Drive,,
481,14993,Route 81 Venetian Hills/Delowe Drive,,14764,Route 71 Cascade Road,,
484,14764,Route 71 Cascade Road,,14804,Route 181 Washington Road/Fairburn,,
583,14804,Route 181 Washington Road/Fairburn,,14768,Route 78 Cleveland Avenue,,
584,14768,Route 78 Cleveland Avenue,,14746,Route 26 Marietta Street / Perry Boulevard,,
703,14746,Route 26 Marietta Street / Perry Boulevard,,14760,Route 55 Jonesboro Road,,
1056,14760,Route 55 Jonesboro Road,,14844,Route 82 Camp Creek / South Fulton Parkway,,
1151,14844,Route 82 Camp Creek / South Fulton Parkway,,14762,Route 60 Hightower Road,,
1517,14762,Route 60 Hightower Road,,14758,Route 51 Joseph E Boone Boulevard,,
1557,14758,Route 51 Joseph E Boone Boulevard,,14766,Route 73 Fulton Industrial,,
1566,14766,Route 73 Fulton Industrial,,14735,Route 2 Ponce de Leon Avenue/Druid Hills,,
1682,14735,Route 2 Ponce de Leon Avenue/Druid Hills,,14784,Route 102 North Avenue / Little Five Points,,
1683,14784,Route 102 North Avenue / Little Five Points,,14991,Route 74 Flat Shoals Road,,
1931,14991,Route 74 Flat Shoals Road,,14740,Route 15 Candler Road,,
2133,14740,Route 15 Candler Road,,14852,Route 186 Rainbow Drive/South DeKalb,,
2138,14852,Route 186 Rainbow Drive/South DeKalb,,14795,Route 120 East Ponce De Leon Avenue,,
2532,14795,Route 120 East Ponce De Leon Avenue,,14793,Route 117 Rockbridge Road / Panola Road,,
2582,14793,Route 117 Rockbridge Road / Panola Road,,14797,Route 121 Memorial Drive / N Hairston Road,,
2905,14799,Route 121 Memorial Drive / N Hairston Road,,14737,Route 5 Piedmont Road / Sandy Springs,,
2999,14797,Route 5 Piedmont Road / Sandy Springs,,14791,Route 115 Covington Highway,,
3002,14737,Route 115 Covington Highway,,14800,Route 125 Clarkston,,
3091,14791,Route 125 Clarkston,,14857,Route 116 Redan Road,,
3095,14800,Route 116 Redan Road,,14802,Route 172 Sylvan Road / Virginia Avenue,,
3146,14857,Route 172 Sylvan Road / Virginia Avenue,,14845,Route 82 Campbellton Road,,
3923,14802,Route 82 Campbellton Road,,14778,Route 87 Roswell Road / Sandy Springs,,
4441,14845,Route 87 Roswell Road / Sandy Springs,,14806,Route 185 Alpharetta,,
4772,14778,Route 185 Alpharetta,,14864,Route 12 Howell Mill Road / Cumberland,,
4773,14806,Route 12 Howell Mill Road / Cumberland,,14829,Atlanta Streetcar,,
5971,14864,Atlanta Streetcar,,,,,
6110,14829,,,,,,