,route_id,stop_id,trip_headsign,stop_name,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
72,14832,908603,GOLD NORTHBOUND TO DORAVILLE STATION,CHAMBLEE STATION,13089021204,44.3,19886,407,215
76,14832,908604,GOLD SOUTHBOUND TO AIRPORT STATION,CHAMBLEE STATION,13089021204,44.3,19886,407,215
2921,14799,906022,,TUCKER NORCROSS RD@BRITT RD,13089021814,27.7,28107,364,393
2922,14799,905371,,PLEASANTDALE RD @ TUCKER NORCROSS RD,13089021814,27.7,28107,364,393
2923,14799,906131,,PLEASANTDALE RD@SHADOW WALK LN,13089021814,27.7,28107,364,393
2924,14799,906129,,PLEASANTDALE RD@PLEASANT SHADE DR,13089021814,27.7,28107,364,393
2925,14799,905326,,PLEASANTDALE RD @ SPRING HARBOR LN,13089021814,27.7,28107,364,393
2926,14799,905324,,PLEASANTDALE RD@PLEASANTDALE PKY,13089021814,27.7,28107,364,393
2927,14799,906126,,PLEASANTDALE RD @ WASHINGTON WAY,13089021814,27.7,28107,364,393
2928,14799,906162,,PLEASANTDALE RD @ VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2929,14799,906246,,PLEASANTDALE RD@3637,13089021814,27.7,28107,364,393
2930,14799,905321,,PLEASANTDALE RD@3722,13089021814,27.7,28107,364,393
2931,14799,905320,,PLEASANTDALE RD@3772,13089021814,27.7,28107,364,393
2932,14799,906027,,PLEASANTDALE RD @ 3980,13089021814,27.7,28107,364,393
2933,14799,906026,,PLEASANTDALE RD@4021,13089021814,27.7,28107,364,393
2936,14799,213293,,BUTTON GWINNETT DR @ 4550,13089021303,30.5,33701,237,373
2937,14799,906270,,PLEASANTDALE RD@OAKCLIFF RD,13089021303,30.5,33701,237,373
2938,14799,906274,,OAKCLIFF RD @ PLEASANTDALE,13089021303,30.5,33701,237,373
2939,14799,906269,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL CT,13089021303,30.5,33701,237,373
2940,14799,906268,,OAKCLIFF RD@NORTHCREST RD,13089021303,30.5,33701,237,373
2941,14799,906267,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL ST,13089021303,30.5,33701,237,373
2942,14799,906266,,OAKCLIFF RD@3420,13089021303,30.5,33701,237,373
2943,14799,906260,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2944,14799,906259,,OAKCLIFF RD@WINDSOR OAK DR,13089021303,30.5,33701,237,373
2945,14799,905375,,OAKCLIFF RD @ BUFORD HWY,13089021303,30.5,33701,237,373
2946,14799,210566,,BUFORD HWY@MCELROY RD,13089021306,19.7,37104,120,232
2947,14799,905971,,BUFORD HWY@5700,13089021306,19.7,37104,120,232
2948,14799,905997,,BUFORD HWY@LONGMIRE,13089021306,19.7,37104,120,232
2956,14799,906016,,BUFORD HWY NE @ CHESTNUT DR,13089021307,26.4,45199,91,138
2957,14799,905263,,BUFORD HWY@LONGMIRE,13089021303,30.5,33701,237,373
2958,14799,905379,,BUFORD HWY@MCELROY RD,13089021303,30.5,33701,237,373
2959,14799,905266,,BUFORD HWY@MCELROY RD,13089021303,30.5,33701,237,373
2960,14799,210565,,BUFORD HWY @ OAKCLIFF RD,13089021303,30.5,33701,237,373
2961,14799,906232,,OAKCLIFF RD@3061,13089021303,30.5,33701,237,373
2962,14799,905338,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2963,14799,906234,,OAKCLIFF RD@PIN OAK CIR,13089021303,30.5,33701,237,373
2964,14799,906235,,OAKCLIFF RD @ 3417,13089021303,30.5,33701,237,373
2965,14799,906209,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL ST,13089021303,30.5,33701,237,373
2966,14799,906210,,OAKCLIFF RD @ NORTHCREST RD,13089021303,30.5,33701,237,373
2967,14799,906211,,OAKCLIFF RD@OAKCLIFF INDUSTRIAL CT,13089021303,30.5,33701,237,373
2968,14799,906212,,OAKCLIFF RD @ PLEASANTDALE RD,13089021303,30.5,33701,237,373
2969,14799,906236,,PLEASANTDALE RD@4126,13089021303,30.5,33701,237,373
2971,14799,905783,,PLEASANTDALE RD@3930,13089021814,27.7,28107,364,393
2972,14799,906021,,PLEASANTDALE RD@3980,13089021814,27.7,28107,364,393
2973,14799,905194,,PLEASANTDALE RD@3810,13089021814,27.7,28107,364,393
2974,14799,905195,,PLEASANTDALE RD@3772,13089021814,27.7,28107,364,393
2975,14799,905196,,PLEASANTDALE RD@3754,13089021814,27.7,28107,364,393
2976,14799,905197,,PLEASANTDALE RD@3722,13089021814,27.7,28107,364,393
2977,14799,906247,,PLEASANTDALE RD@3637,13089021814,27.7,28107,364,393
2978,14799,905322,,PLEASANTDALE RD@VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2979,14799,906124,,PLEASANTDALE RD@VALLEY BLUFF WAY,13089021814,27.7,28107,364,393
2980,14799,905323,,PLEASANTDALE RD@PLEASANTDALE PKY,13089021814,27.7,28107,364,393
2981,14799,905325,,PLEASANTDALE RD@SPRING HARBOR LN,13089021814,27.7,28107,364,393
2982,14799,906128,,PLEASANTDALE RD@PLEASANT SHADE DR,13089021814,27.7,28107,364,393
3007,14748,906073,Route 39 Lindbergh Station,BUFORD HWY NE @ CHAMBLEE DUNWOODY RD ,13089021204,44.3,19886,407,215
3008,14748,212903,Route 39 Lindbergh Station,BUFORD HWY @ 5000,13089021204,44.3,19886,407,215
3009,14748,905540,Route 39 Lindbergh Station,BUFORD HWY @ CHAMBLEE TUCKER RD,13089021204,44.3,19886,407,215
3010,14748,905829,Route 39 Lindbergh Station,BUFORD HWY NE @ BEVERLY HILLS DR ,13089021204,44.3,19886,407,215
3011,14748,905830,Route 39 Lindbergh Station,BUFORD HWY NE @ 4770,13089021204,44.3,19886,407,215
3012,14748,905748,Route 39 Lindbergh Station,BUFORD HWY NE @ SHALLOWFORD TER ,13089021204,44.3,19886,407,215
3013,14748,210966,Route 39 Lindbergh Station,BUFORD HWY@WOODSIDE WAY,13089021204,44.3,19886,407,215
3014,14748,211090,Route 39 Lindbergh Station,BUFORD HWY NE @ 4416,13089021204,44.3,19886,407,215
3015,14748,905535,Route 39 Lindbergh Station,BUFORD HWY NE @ BRAGG ST,13089021204,44.3,19886,407,215
3060,14748,905696,Route 39 Doraville Station,BUFORD HWY NE @ KNOLL PL,13089021414,31.6,34219,309,160
3061,14748,905253,Route 39 Doraville Station,BUFORD HWY NE @ AFTON LN ,13089021414,31.6,34219,309,160
3062,14748,905260,Route 39 Doraville Station,BUFORD HWY NE @ 3557,13089021414,31.6,34219,309,160
3063,14748,905372,Route 39 Doraville Station,BUFORD HWY NE@3567,13089021414,31.6,34219,309,160
3064,14748,905374,Route 39 Doraville Station,BUFORD HWY NE@3649,13089021414,31.6,34219,309,160
3065,14748,906133,Route 39 Doraville Station,BUFORD HWY NE@3691,13089021414,31.6,34219,309,160
3066,14748,906141,Route 39 Doraville Station,BUFORD HWY NE @ DREW VALLEY RD ,13089021414,31.6,34219,309,160
3067,14748,906142,Route 39 Doraville Station,BUFORD HWY NE@3814,13089021414,31.6,34219,309,160
3068,14748,906137,Route 39 Doraville Station,BUFORD HWY NE@CLAIRMONT TER ,13089021414,31.6,34219,309,160
3069,14748,906138,Route 39 Doraville Station,BUFORD HWY NE@CLAIRMONT RD ,13089021414,31.6,34219,309,160
3070,14748,906192,Route 39 Doraville Station,BUFORD HWY NE@DERING CIR ,13089021410,29.7,39583,296,237
3071,14748,906169,Route 39 Doraville Station,BUFORD HWY NE @ 4075 ,13089021410,29.7,39583,296,237
3072,14748,905820,Route 39 Doraville Station,BUFORD HWY NE @ OAK SHADOW CT NE,13089021410,29.7,39583,296,237
3073,14748,905173,Route 39 Doraville Station,BUFORD HWY NE@PLASTER RD ,13089021410,29.7,39583,296,237
3074,14748,900407,Route 39 Doraville Station,BUFORD HWY@BRAGG ST,13089021308,28.6,42879,121,167
3075,14748,211089,Route 39 Doraville Station,BUFORD HWY @ 4416,13089021308,28.6,42879,121,167
3076,14748,905747,Route 39 Doraville Station,BUFORD HWY@WOODSIDE WAY,13089021308,28.6,42879,121,167
3077,14748,905632,Route 39 Doraville Station,BUFORD HWY NE@SHALLOWFORD TER ,13089021308,28.6,42879,121,167
3078,14748,905633,Route 39 Doraville Station,BUFORD HWY NE@4725,13089021308,28.6,42879,121,167
3079,14748,905634,Route 39 Doraville Station,BUFORD HWY NE@BEVERLY HILLS DR ,13089021308,28.6,42879,121,167
3080,14748,905631,Route 39 Doraville Station,BUFORD HWY@CHAMBLEE TUCKER RD,13089021308,28.6,42879,121,167
3081,14748,905865,Route 39 Doraville Station,BUFORD HWY NE @ 4995,13089021307,26.4,45199,91,138
3082,14748,905866,Route 39 Doraville Station,BUFORD HWY NE @ SHALLOWFORD RD ,13089021307,26.4,45199,91,138
3083,14748,905867,Route 39 Doraville Station,BUFORD HWY NE @ MCCLAVE DR ,13089021307,26.4,45199,91,138
3084,14748,905874,Route 39 Doraville Station,BUFORD HWY NE @ 5203,13089021307,26.4,45199,91,138
3085,14748,905875,Route 39 Doraville Station,BUFORD HWY NE@5269,13089021307,26.4,45199,91,138
3086,14748,905995,Route 39 Doraville Station,BUFORD HWY NE@OAKMONT AVE ,13089021307,26.4,45199,91,138
5109,14742,902153,Route 19- Chamblee Station,CLAIRMONT RD@2890,13089021410,29.7,39583,296,237
5110,14742,901875,Route 19- Chamblee Station,CLAIRMONT RD@CANNON FARM HILL RD,13089021410,29.7,39583,296,237
5111,14742,211555,Route 19- Chamblee Station,CLAIRMONT RD NE @ CENTURY BLVD,13089021410,29.7,39583,296,237
5112,14742,905327,Route 19- Chamblee Station,CLAIRMONT RD @ CENTURY PL,13089021410,29.7,39583,296,237
5113,14742,905328,Route 19- Chamblee Station,CLAIRMONT RD@MCJENKIN DR,13089021410,29.7,39583,296,237
5114,14742,905329,Route 19- Chamblee Station,CLAIRMONT RD@CLAIRMONT NORTH  NE,13089021410,29.7,39583,296,237
5115,14742,905211,Route 19- Chamblee Station,CLAIRMONT RD@TANGLEWOOD CIR,13089021410,29.7,39583,296,237
5116,14742,905212,Route 19- Chamblee Station,CLAIRMONT RD@CLAIRMONT TER,13089021410,29.7,39583,296,237
5117,14742,905213,Route 19- Chamblee Station,CLAIRMONT RD@BUFORD HWY,13089021410,29.7,39583,296,237
5122,14742,905360,Route 19- Chamblee Station,CLAIRMONT RD@BRAGG ST,13089021204,44.3,19886,407,215
5123,14742,905244,Route 19- Chamblee Station,CLAIRMONT RD@YOUNG RD,13089021204,44.3,19886,407,215
5124,14742,900416,Route 19- Chamblee Station,CLAIRMONT RD @ W HARDEE AVE,13089021204,44.3,19886,407,215
5125,14742,905314,Route 19- Chamblee Station,CLAIRMONT RD@TOBEY RD,13089021204,44.3,19886,407,215
5126,14742,905384,Route 19- Chamblee Station,CLAIRMONT RD@AIRPORT RD,13089021204,44.3,19886,407,215
5127,14742,905385,Route 19- Chamblee Station,CLAIRMONT RD@DYER CIR,13089021204,44.3,19886,407,215
5128,14742,905386,Route 19- Chamblee Station,CLAIRMONT RD NE@LAWSON WAY ,13089021204,44.3,19886,407,215
5129,14742,905387,Route 19- Chamblee Station,CLAIRMONT RD@WINGATE RD,13089021204,44.3,19886,407,215
5130,14742,905315,Route 19- Chamblee Station,CLAIRMONT RD@NEW PEACHTREE RD,13089021204,44.3,19886,407,215
5131,14742,905725,Route 19- Chamblee Station,NEW PEACHTREE RD @ HARDEE AVE,13089021204,44.3,19886,407,215
5132,14742,905514,Route 19- Chamblee Station,CHAMBLEE STATION - EAST LOOP,13089021204,44.3,19886,407,215
5133,14742,905514,Route 19 East Lake Station,CHAMBLEE STATION - EAST LOOP,13089021204,44.3,19886,407,215
5134,14742,905842,Route 19 East Lake Station,NEW PEACHTREE RD@HARDEE AVE,13089021204,44.3,19886,407,215
5141,14742,900417,Route 19 East Lake Station,NORTH DEKALB HEALTH CENTER,13089021204,44.3,19886,407,215
5149,14742,906197,Route 19 East Lake Station,CLAIRMONT RD@CLAIRMONT TER,13089021414,31.6,34219,309,160
5150,14742,906204,Route 19 East Lake Station,CLAIRMONT RD @ TANGLEWOOD CIR,13089021414,31.6,34219,309,160
5151,14742,906203,Route 19 East Lake Station,CLAIRMONT RD@CLAIRMONT NORTH  NE,13089021414,31.6,34219,309,160
5152,14742,906202,Route 19 East Lake Station,CLAIRMONT RD@WILMONT DR,13089021414,31.6,34219,309,160
5153,14742,212965,Route 19 East Lake Station,CLAIRMONT RD NE @ 3018,13089021414,31.6,34219,309,160
5154,14742,905940,Route 19 East Lake Station,CLAIRMONT RD NE @ CENTURY PL,13089021414,31.6,34219,309,160
5155,14742,906201,Route 19 East Lake Station,CLAIRMONT RD @ CLAIRMONT WAY,13089021414,31.6,34219,309,160
5156,14742,906196,Route 19 East Lake Station,CLAIRMONT RD NE @ CLAIRMONT WAY,13089021414,31.6,34219,309,160
5157,14742,906195,Route 19 East Lake Station,CLAIRMONT RD NE@CANNON FARM HILL RD,13089021414,31.6,34219,309,160
5158,14742,902320,Route 19 East Lake Station,CLAIRMONT RD@2890,13089021414,31.6,34219,309,160
